DATE,DESCRIPTION,DEBIT,CREDIT,BALANCE
12-02-2024,Previous Balance,0.00,0.00,841829.64
12-02-2024,CREDIT CHECK,0.00,5000.00,836829.64
29-02-2024,VAT ON ACCT MAINT CHARGES:01-FEB-24 TO 29-FEB-24,0.06,0.00,836829.58
29-02-2024,ACCT MAINT. CHARGES:01-FEB-24 TO 29-FEB-24,0.75,0.00,836828.83
20-03-2024,N-10153018596/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,500000000.00,500836828.83
20-03-2024,N-10153018597/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,500000000.00,1000836828.83
20-03-2024,N-10153018598/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,500000000.00,1500836828.83
20-03-2024,N-10153018599/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,500000000.00,2000836828.83
20-03-2024,N-10153018638/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,500000000.00,2500836828.83
20-03-2024,N-10153018639/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,500000000.00,3000836828.83
20-03-2024,N-10153018640/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,500000000.00,3500836828.83
20-03-2024,N-10153018641/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,500000000.00,4000836828.83
20-03-2024,N-10153018701/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,500000000.00,4500836828.83
20-03-2024,N-10153018702/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,500000000.00,5000836828.83
20-03-2024,N-10153018703/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,500000000.00,5500836828.83
20-03-2024,N-10153018704/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,500000000.00,6000836828.83
20-03-2024,N-10153018578/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,500000000.00,6500836828.83
20-03-2024,N-10153018579/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,500000000.00,7000836828.83
20-03-2024,N-10153018580/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,500000000.00,7500836828.83
20-03-2024,N-10153018581/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,500000000.00,8000836828.83
20-03-2024,N-10153020517/SUNBETH GLOBAL CONCEPTS LIMITED,0.00,350000000.00,8350836828.83
20-03-2024,N-10153020518/SUNBETH GLOBAL CONCEPTS LIMITED,0.00,350000000.00,8700836828.83
20-03-2024,N-10153020519/SUNBETH GLOBAL CONCEPTS LIMITED,0.00,350000000.00,9050836828.83
20-03-2024,N-10153020520/SUNBETH GLOBAL CONCEPTS LIMITED,0.00,350000000.00,9400836828.83
20-03-2024,N-10153020522/SUNBETH GLOBAL CONCEPTS LIMITED,0.00,400000000.00,9800836828.83
20-03-2024,N-10153020523/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,400000000.00,10200836828.83
20-03-2024,N-10153020525/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,400000000.00,10600836828.83
20-03-2024,N-10153020525/SUNBETH GLOBAL CONCEPTS LIMITED FRO,0.00,400000000.00,11000836828.83
20-03-2024,FUND TRF FROM OUTSPAN NIGERIA LTD,0.00,100000000.00,11100836828.83
20-03-2024,FUND TRF FROM OUTSPAN NIGERIA LTD,0.00,100000000.00,11200836828.83
20-03-2024,FUND TRF FROM OUTSPAN NIGERIA LTD,0.00,100000000.00,11300836828.83
20-03-2024,FUND TRF FROM OUTSPAN NIGERIA LTD,0.00,100000000.00,11400836828.83
20-03-2024,FUND TRF FROM OUTSPAN NIGERIA LTD,0.00,100000000.00,11500836828.83
20-03-2024,FUND TRF FROM OUTSPAN NIGERIA LTD,0.00,100000000.00,11600836828.83
20-03-2024,FUND TRF FROM OUTSPAN NIGERIA LTD,0.00,100000000.00,11700836828.83
20-03-2024,FUND TRF FROM OUTSPAN NIGERIA LTD,0.00,100000000.00,11800836828.83
20-03-2024,FUND TRF FROM OUTSPAN NIGERIA LTD,0.00,100000000.00,11900836828.83
20-03-2024,FUND TRF FROM OUTSPAN NIGERIA LTD,0.00,100000000.00,12000836828.83
21-03-2024,TRSF IFO PROMOTEC INTEGRATED LTD,500000000.00,0.00,11500836828.83
21-03-2024,TRSF IFO PROMOTEC INTEGRATED LTD,500000000.00,0.00,11000836828.83
21-03-2024,TRSF IFO PROMOTEC INTEGRATED LTD,500000000.00,0.00,10500836828.83
21-03-2024,TRSF IFO PROMOTEC INTEGRATED LTD,500000000.00,0.00,10000836828.83
21-03-2024,TRSF IFO PROMOTEC INTEGRATED LTD,500000000.00,0.00,9500836828.83
21-03-2024,TRSF IFO PROMOTEC INTEGRATED LTD,500000000.00,0.00,9000836828.83
21-03-2024,TRSF IFO PROMOTEC INTEGRATED LTD,500000000.00,0.00,8500836828.83
